Prec	Vaz	Mes	Ano
88.6	6.10	Nov	1983
37.6	4.30	Dez	1983
56.3	3.40	Jan	1984
154.5	2.34	Fev	1984
163.8	2.45	Mar	1984
430.7	5.24	Abr	1984
304.1	11.12	Mai	1984
295.3	9.82	Jun	1984
230.1	8.68	Jul	1984
258.2	9.53	Ago	1984
203.9	16.43	Set	1984
46.8	6.72	Out	1984
63.1	4.82	Nov	1984
37.2	3.69	Dez	1984
15.2	4.05	Jan	1985
130.9	3.62	Fev	1985
125.0	3.70	Mar	1985
414.5	4.59	Abr	1985
57.7	3.51	Mai	1985
51.3	3.07	Jun	1985
654.5	11.40	Jul	1985
241.2	9.25	Ago	1985
10.0	4.71	Set	1985
87.8	3.52	Out	1985
177.5	4.40	Nov	1985
246.6	22.16	Dez	1985
50.3	7.31	Jan	1986
91.4	4.52	Fev	1986
192.0	4.56	Mar	1986
178.4	3.19	Abr	1986
154.1	3.80	Mai	1986
177.3	3.95	Jun	1986
103.0	2.97	Jul	1986
32.0	2.81	Ago	1986
201.0	3.09	Set	1986
46.5	2.41	Out	1986
289.0	4.44	Nov	1986
202.9	3.94	Dez	1986
36.2	2.46	Jan	1987
130.6	2.25	Fev	1987
201.5	2.94	Mar	1987
142.7	3.90	Abr	1987
152.7	2.45	Mai	1987
162.1	2.25	Jun	1987
76.6	2.59	Jul	1987
15.9	1.34	Ago	1987
140.1	1.84	Set	1987
49.3	0.84	Out	1987
159.1	1.37	Nov	1987
269.8	2.56	Dez	1987
185.4	2.34	Jan	1988
237.4	2.06	Fev	1988
123.3	2.24	Mar	1988
188.9	3.07	Abr	1988
163.4	3.35	Mai	1988
228.2	4.70	Jun	1988
163.0	4.24	Jul	1988
172.5	4.93	Ago	1988
107.0	3.80	Set	1988
99.8	3.27	Out	1988
127.4	3.41	Nov	1988
162.3	6.25	Dez	1988
116.0	3.00	Jan	1989
23.0	2.29	Fev	1989
142.4	2.48	Mar	1989
247.4	4.83	Abr	1989
197.6	3.44	Mai	1989
174.9	5.06	Jun	1989
49.0	4.25	Jul	1989
325.2	6.58	Ago	1989
48.9	4.38	Set	1989
98.4	3.13	Out	1989
123.8	3.65	Nov	1989
528.4	12.95	Dez	1989
174.7	11.99	Jan	1990
118.0	5.47	Fev	1990
104.8	4.24	Mar	1990
162.6	3.55	Abr	1990
239.8	3.88	Mai	1990
166.4	4.74	Jun	1990
57.7	4.35	Jul	1990
217.6	4.87	Ago	1990
124.4	4.18	Set	1990
405.1	10.06	Out	1990
33.0	5.45	Nov	1990
232.4	6.27	Dez	1990
41.2	3.83	Jan	1991
133.0	3.13	Fev	1991
189.6	3.44	Mar	1991
156.4	3.79	Abr	1991
312.0	9.32	Mai	1991
141.5	9.68	Jun	1991
206.9	7.54	Jul	1991
173.7	6.67	Ago	1991
86.6	6.35	Set	1991
169.1	4.54	Out	1991
273.8	6.36	Nov	1991
58.0	5.00	Dez	1991
0.0	7.99	Jan	1992
4.4	19.02	Fev	1992
136.3	9.22	Mar	1992
36.6	5.92	Abr	1992
0.0	6.09	Mai	1992
0.0	6.34	Jun	1992
149.7	8.86	Jul	1992
157.3	7.15	Ago	1992
130.8	6.67	Set	1992
80.7	4.16	Out	1992
100.4	4.78	Nov	1992
104.7	3.57	Dez	1992
62.4	2.00	Jan	1993
49.2	2.00	Fev	1993
58.1	1.40	Mar	1993
125.7	1.15	Abr	1993
112.4	2.18	Mai	1993
223.6	4.30	Jun	1993
97.0	2.67	Jul	1993
109.4	3.11	Ago	1993
86.4	1.99	Set	1993
100.5	2.05	Out	1993
162.3	2.13	Nov	1993
124.0	1.56	Dez	1993
67.4	0.94	Jan	1994
265.6	3.93	Fev	1994
130.0	2.81	Mar	1994
175.4	3.17	Abr	1994
199.6	4.85	Mai	1994
95.6	4.38	Jun	1994
240.0	NA	Jul	1994
84.2	5.36	Ago	1994
171.6	5.30	Set	1994
86.6	4.14	Out	1994
134.3	3.18	Nov	1994
57.4	2.35	Dez	1994
60.5	1.72	Jan	1995
66.8	1.61	Fev	1995
200.3	1.30	Mar	1995
268.3	1.65	Abr	1995
172.0	2.27	Mai	1995
160.8	1.93	Jun	1995
266.1	3.56	Jul	1995
108.4	5.38	Ago	1995
129.3	4.92	Set	1995
69.8	5.75	Out	1995
397.4	8.57	Nov	1995
94.0	6.83	Dez	1995
154.0	5.45	Jan	1996
50.0	5.24	Fev	1996
147.9	3.45	Mar	1996
264.0	3.38	Abr	1996
111.4	3.46	Mai	1996
96.2	3.06	Jun	1996
112.2	2.87	Jul	1996
156.2	3.29	Ago	1996
161.2	4.68	Set	1996
104.4	2.89	Out	1996
205.2	5.58	Nov	1996
24.2	7.74	Dez	1996
134.0	2.95	Jan	1997
357.8	6.14	Fev	1997
380.0	13.42	Mar	1997
209.1	7.89	Abr	1997
216.6	8.70	Mai	1997
68.6	6.46	Jun	1997
138.5	6.54	Jul	1997
59.2	4.18	Ago	1997
18.8	2.84	Set	1997
125.8	3.27	Out	1997
72.0	2.36	Nov	1997
92.8	1.41	Dez	1997
190.1	2.12	Jan	1998
116.5	2.41	Fev	1998
139.8	1.67	Mar	1998
130.6	1.68	Abr	1998
137.0	2.01	Mai	1998
156.9	2.82	Jun	1998
107.7	2.74	Jul	1998
145.9	2.97	Ago	1998
127.1	2.38	Set	1998
100.9	2.10	Out	1998
212.2	4.12	Nov	1998
80.4	2.44	Dez	1998
180.3	5.07	Jan	1999
276.4	8.10	Fev	1999
101.3	6.24	Mar	1999
246.0	5.58	Abr	1999
221.1	6.55	Mai	1999
171.4	8.92	Jun	1999
420.3	11.39	Jul	1999
275.5	12.45	Ago	1999
114.1	9.76	Set	1999
174.5	7.99	Out	1999
117.0	6.62	Nov	1999
119.6	8.36	Dez	1999
193.7	7.49	Jan	2000
128.8	6.03	Fev	2000
251.2	7.36	Mar	2000
221.7	8.70	Abr	2000
128.6	8.39	Mai	2000
191.0	7.70	Jun	2000
172.6	9.00	Jul	2000
215.0	10.34	Ago	2000
128.7	7.83	Set	2000
118.0	5.76	Out	2000
179.3	4.50	Nov	2000
212.3	5.32	Dez	2000
162.0	4.63	Jan	2001
82.9	3.46	Fev	2001
255.9	5.84	Mar	2001
97.8	4.40	Abr	2001
191.4	4.64	Mai	2001
233.9	7.61	Jun	2001
146.1	6.85	Jul	2001
224.4	7.63	Ago	2001
115.7	7.53	Set	2001
234.1	7.43	Out	2001
145.2	5.79	Nov	2001
211.5	6.51	Dez	2001
334.7	15.05	Jan	2002
130.0	10.08	Fev	2002
161.3	7.03	Mar	2002
157.5	6.31	Abr	2002
209.2	6.18	Mai	2002
134.8	5.58	Jun	2002
133.4	5.89	Jul	2002
177.7	6.99	Ago	2002
184.0	6.87	Set	2002
54.1	5.25	Out	2002
91.1	5.09	Nov	2002
68.4	3.56	Dez	2002
43.6	2.61	Jan	2003
112.3	3.36	Fev	2003
226.7	3.44	Mar	2003
179.9	3.74	Abr	2003
211.7	4.61	Mai	2003
221.6	8.58	Jun	2003
226.1	6.11	Jul	2003
165.4	7.06	Ago	2003
159.1	8.11	Set	2003
84.2	5.69	Out	2003
100.0	4.90	Nov	2003
79.5	3.95	Dez	2003
353.8	7.29	Jan	2004
127.2	6.54	Fev	2004
414.7	8.01	Mar	2004
131.0	7.31	Abr	2004
279.9	7.77	Mai	2004
163.8	7.88	Jun	2004
126.2	8.25	Jul	2004
55.1	6.14	Ago	2004
54.0	5.06	Set	2004
85.9	4.23	Out	2004
223.8	5.31	Nov	2004
25.6	2.80	Dez	2004
109.7	2.89	Jan	2005
119.4	3.59	Fev	2005
232.4	2.70	Mar	2005
284.8	4.63	Abr	2005
187.4	5.40	Mai	2005
199.4	7.41	Jun	2005
238.2	7.24	Jul	2005
170.0	7.82	Ago	2005
