date	freshwater_discharge_m3_s	precipitation_mm_month	data_role
1979-11-01	3.33	71.10	calibration
1979-12-01	2.06	33.70	calibration
1980-01-01	3.94	175.30	calibration
1980-02-01	11.25	332.30	calibration
1980-03-01	9.53	147.30	calibration
1980-04-01	5.85	147.00	calibration
1980-05-01	5.12	175.00	calibration
1980-06-01	5.05	121.00	calibration
1980-07-01	4.95	104.60	calibration
1980-08-01	4.68	144.10	calibration
1980-09-01	6.00	234.10	calibration
1980-10-01	4.43	130.40	calibration
1980-11-01	5.48	155.70	calibration
1980-12-01	4.77	160.50	calibration
1981-01-01	3.33	41.50	calibration
1981-02-01	3.36	282.30	calibration
1981-03-01	11.19	479.20	calibration
1981-04-01	11.33	284.60	calibration
1981-05-01	10.12	355.50	calibration
1981-06-01	9.29	196.20	calibration
1981-07-01	5.78	117.70	calibration
1981-08-01	4.55	85.70	calibration
1981-09-01	3.46	48.30	calibration
1981-10-01	5.28	139.20	calibration
1981-11-01	6.90	207.70	calibration
1981-12-01	4.50	155.00	calibration
1982-01-01	3.38	205.50	calibration
1982-02-01	4.57	271.90	calibration
1982-03-01	3.50	38.00	calibration
1982-04-01	4.43	278.00	calibration
1982-05-01	3.61	190.40	calibration
1982-06-01	4.55	187.50	calibration
1982-07-01	4.46	238.40	calibration
1982-08-01	5.26	246.50	calibration
1982-09-01	5.91	173.80	calibration
1982-10-01	4.17	30.40	calibration
1982-11-01	3.57	88.60	calibration
1982-12-01	2.41	52.10	calibration
1983-01-01	2.13	35.30	calibration
1983-02-01	3.83	230.20	calibration
1983-03-01	3.71	241.70	calibration
1983-04-01	3.31	95.40	calibration
1983-05-01	4.25	240.20	calibration
1983-06-01	5.74	252.30	calibration
1983-07-01	4.47	152.00	calibration
1983-08-01	3.19	65.00	calibration
1983-09-01	4.40	263.50	calibration
1983-10-01	11.42	268.90	calibration
1983-11-01	6.10	88.60	calibration
1983-12-01	4.30	37.60	calibration
1984-01-01	3.40	56.30	calibration
1984-02-01	2.34	154.50	calibration
1984-03-01	2.45	163.80	calibration
1984-04-01	5.24	430.70	calibration
1984-05-01	11.12	304.10	calibration
