Period,Family,Model,Architecture,N_initializations,N,RMSE_ensemble,MAE_ensemble,Bias_ensemble
T1,MLP univariate,U3,3-8-1,20,152,1.730249527760479,1.2793065930520653,0.3267826599073296
T1,MLP multivariate,M3,4-4-1,20,145,1.789950858703368,1.2970362747550175,0.16642000176103727
T2,MLP univariate,U5,4-4-1,20,84,1.7878415528239138,1.2680356467751432,0.1312598442750972
T2,MLP multivariate,M4,5-10-1,20,78,1.8836094273740387,1.2870550501162024,0.09071966552354303
