Period,Family,Model,Architecture,N_runs,RMSE_mean,RMSE_sd,RMSE_min,RMSE_max,RMSE_CV_percent,MAE_mean,MAE_sd,MAE_min,MAE_max,MAE_CV_percent
T1,MLP multivariate,M3,4-4-1,20,1.822994892822741,0.033409105666720465,1.773274654239791,1.8964433406159353,1.832649438473715,1.3264979727781396,0.020661393781974898,1.3004218450018983,1.38129945273219,1.5575895482676756
T1,MLP univariate,U3,3-8-1,20,2.0271783240090047,0.5540282001731133,1.690771233985905,4.227011327927177,27.330017966917264,1.4118934056755479,0.13316938569783177,1.2651207878002189,1.8973546790424392,9.431971646196214
T2,MLP multivariate,M4,5-10-1,20,2.219407253933874,0.4925769570637172,1.8301074882045587,4.1974687273046625,22.19407709831669,1.4982154339771903,0.17268291036388028,1.317710268735724,2.0533590529530574,11.525906518361852
T2,MLP univariate,U5,4-4-1,20,1.8179122639731162,0.03643194861042596,1.7547254999647353,1.9211374578911808,2.0040542842701634,1.2925380284450443,0.02720227729351388,1.25299822593672,1.3619755044764625,2.104563014384877
